,title,artist,lastfm_id,genius_id,Group
42,Apple Of My Eye,Dolores O'Riordan,TRRFCVH12903CFB8A1,1497507.0,92
43,This Love (Will Be Your Downfall),Ellie Goulding,TRFQGMU12903D0F9BA,198861.0,110
44,Salt Skin,Ellie Goulding,TRUPYUP12903D0FA06,198871.0,83
45,Fighter Plane,Ellie Goulding,TRKOONJ128F93271B7,1157536.0,44
46,Autumn Leaves,Eva Cassidy,TRXWMGR128F42922AE,1420094.0,41
47,Songbird,Eva Cassidy,TRISKNW128F4264FD6,1249459.0,41
48,Dry And Dusty,Fever Ray,TRCVNAT128F9305AEA,346048.0,84
49,Cosmic Love,Florence + The Machine,TRHHHKS128F92F98D5,68871.0,55
50,Blinding,Florence + The Machine,TRUWOAH128F92F9914,110809.0,41
51,You've Got The Love,Florence + The Machine,TRUHRFQ12903CC0184,66527.0,45
52,Caravan Girl,Goldfrapp,TROCZGW128F4268664,1178493.0,49
53,Rocket,Goldfrapp,TRGBOWK12903CAF97F,1459053.0,98
54,Alive,Goldfrapp,TRNVOLU12903CBE095,1271228.0,84
55,Superstylin',Groove Armada,TRZKICK128F425E77D,172548.0,32
56,Kinky Afro,Happy Mondays,TRQVWED128F146852D,134790.0,85
57,Cash Machine,Hard-Fi,TRRUPLJ128E07886A3,692527.0,113
58,I Can See Clearly Now,Hothouse Flowers,TRJXJPV128F1482BC7,1420764.0,36
59,Hide And Seek,Howard Jones,TRSDPZU12903CD4CA5,791895.0,69
60,So Did We,Isis,TRDRIXM128F9314691,325915.0,116
61,Wills Dissolve,Isis,TRIAVZL128F9314694,936574.0,116
62,Syndic Calls,Isis,TRUKTPL128F9314695,1195129.0,92
63,Grinning Mouths,Isis,TRFMZBV128F9314697,1504347.0,81
64,Again,Janet Jackson,TRANIVG128F1484DED,1428177.0,53
65,Doesn't Really Matter,Janet Jackson,TRXXCIZ128F42574DD,592886.0,91
66,Barbara Allen,Joan Baez,TRKJJUW128F92F2129,845409.0,76
67,Crazy Baby,Joan Osborne,TRGKTPE128F148C63E,864246.0,41
68,St. Teresa,Joan Osborne,TRKZDJX128F148C634,1514561.0,108
69,One Of Us,Joan Osborne,TRRJPIK128E07848C9,107948.0,22
70,Winter,Joshua Radin,TREQEVV128F42A04F2,78092.0,21
71,Dust In The Wind,Kansas,TRJUFNY12903CD0B61,161567.0,84
72,Two Receivers,Klaxons,TRJSNBK128EF343A72,122967.0,13
73,Sleep,Lagwagon,TRUHODS128F9345D8E,1453970.0,13
74,Hide Away,Laleh,TRYFTCH128F4242C56,1301928.0,112
75,Lifted,Lighthouse Family,TRCCYOZ128F14628E0,1094964.0,82
76,Ocean Drive,Lighthouse Family,TRNJTNG128F93210DB,882687.0,33
77,High,Lighthouse Family,TRGVIBV128F423971F,1144331.0,107
78,East Of Eden,Lone Justice,TRADMHU128F148D1E4,1745627.0,100
79,Don't Toss Us Away,Lone Justice,TRNPJMB128F1499DFB,1644052.0,74
80,Working Late,Lone Justice,TRCNKMS128F1499DFA,1168171.0,92
81,"Soap, Soup And Salvation",Lone Justice,TRUDGNW128F933477D,1731519.0,84
82,It Must Be Love,Madness,TRRSFOD128F42BC56E,1445045.0,84
83,House Of Fun,Madness,TRGLMZJ128F92DC646,108493.0,114
84,Honey,Mariah Carey,TRIKBTY128F93214AA,32386.0,0
85,Babydoll,Mariah Carey,TROHCFD128F930CD62,204236.0,101
86,I'll Be There,Mariah Carey,TRGTICV128F42798E9,204272.0,81
87,Hello,Me First And The Gimme Gimmes,TRJBAYP128F93449DA,807078.0,114
88,Isn't She Lovely,Me First And The Gimme Gimmes,TRZPZJQ128F93449E5,806485.0,37
89,I Believe I Can Fly,Me First And The Gimme Gimmes,TRRLOIA128EF34A533,807644.0,58
90,Guys Like Me,Aimee Mann,TRTHGFL128F4248271,1545438.0,115
91,Today's The Day,Aimee Mann,TRJDVHB128F4248275,981982.0,51
92,It's Not,Aimee Mann,TRWOELW128F4248277,219654.0,51
93,Stranger Into Starman,Aimee Mann,TRNOGQV128F42631DD,217486.0,79
94,Looking For Nothing,Aimee Mann,TRJYATJ128F42631DE,217488.0,84
95,When You Say Nothing At All,Alison Krauss & Union Station,TRIZNWG128F9320F02,801849.0,58
96,Gravity,Alison Krauss & Union Station,TRRERMG128F92FE6E7,783594.0,84
97,Restless,Alison Krauss & Union Station,TRRHBFP128F92FE6F7,786699.0,81
98,Pastures Of Plenty,Alison Krauss & Union Station,TRLTZGJ128F92FE730,1758248.0,49
99,Breathe (2 AM),Anna Nalick,TRISFMO128F427F301,378194.0,115
100,Don't Speak,Anna Maria Jopek,TRVVLWJ128EF343393,809398.0,99
101,To Be Gone,Anna Ternheim,TRRMHGN128EF343347,1415846.0,62
102,Little Lies,Anna Ternheim,TRCHHGP128F9333A05,1516338.0,0
103,China Girl,Anna Ternheim,TRHBFSU128EF3439E7,1680731.0,14
104,Fluorescent Adolescent,Arctic Monkeys,TRTHVYT128F92DE1A6,88856.0,116
105,I Just Can't Help Believing,B.J. Thomas,TRKTDBZ128F92F1268,1298736.0,105
106,Mask,Bauhaus,TRTRBFE128F425872F,842276.0,49
107,The Wrong Girl,Belle And Sebastian,TRNVNIJ12903C9B630,698552.0,114
108,Legal Man,Belle And Sebastian,TRJAPVX12903C9B633,102599.0,88
109,Dear Catastrophe Waitress,Belle And Sebastian,TRTQRXD128F42819A8,508748.0,93
110,If She Wants Me,Belle And Sebastian,TRQWHWR128F42819A9,494650.0,80
111,I'm A Cuckoo,Belle And Sebastian,TRUHXIA128F42819B8,480283.0,66
112,Lord Anthony,Belle And Sebastian,TRZZZRJ128F42819AF,508756.0,72
113,Love Scenes,Beverley Craven,TRMTWDB128F9341849,772543.0,44
114,Feels Like The First Time,Beverley Craven,TRQLFGR128F428285C,771801.0,101
115,Nothing From Nothing,Billy Preston,TRIRLYL128F42539D1,540754.0,53
116,Toes Across The Floor,Blind Melon,TRPCYER128F148FC77,1047663.0,30
117,Walk,Blind Melon,TRBMELE128F1468029,1424897.0,105
118,St. Andrew's Fall,Blind Melon,TRFJGEF128F146802E,1256632.0,58
119,Girls & Boys,Blur,TRDEBVS128E0781AF6,131680.0,67
120,End Of A Century,Blur,TRLPAFT128E0781AF8,131684.0,35
121,Parklife,Blur,TRQNVSC128E0781AF9,131688.0,112
122,This Is A Low,Blur,TRCJENI128E0781B04,131707.0,79
123,Country House,Blur,TRTXNQI128F14681EC,133483.0,30
124,Livin' For You,Boston,TROUQZK128F4270DB7,666089.0,59
125,My Oldest Memory,Bowerbirds,TRDNYWA128F42813F3,1031817.0,53
126,Love Will Keep Us Together,Captain & Tennille,TRFLKMT128F42B640E,622989.0,67
127,In The Land Of Grey And Pink,Caravan,TRSMHJR128F93395A7,1229986.0,13
128,Comin' Back Soon (The Bereft Man's Song),Crash Test Dummies,TRLCEEA128F428CEE6,1184361.0,46
129,Dirty Sticky Floors,Dave Gahan,TRWVYLX128E07889F2,1762264.0,78
130,Girls Talk,Dave Edmunds,TRERNRI128F4267518,995889.0,106
131,Enjoy The Silence,Depeche Mode,TRRHACJ128F146948F,100856.0,109
132,Freestate,Depeche Mode,TRWWVGC12903CB5C50,424326.0,84
133,I Want It All,Depeche Mode,TRUPBXY128F145309E,424347.0,49
134,I Say A Little Prayer,Dionne Warwick,TRGBVFJ128F429B723,1659453.0,115
135,Do You Know The Way To San Jose,Dionne Warwick,TROZZSB128F93352EC,900671.0,32
136,Walk Of Life,Dire Straits,TRWNNYW128E07911E4,127933.0,76
137,Stars,Dubstar,TREQXZW128E0781817,1749256.0,97
138,Just A Girl She Said,Dubstar,TRAHZBM128EF34B6B5,1739399.0,19
139,The Racing Rats,Editors,TRCGDWC128F425EA7E,447136.0,94
140,Push Your Head Towards The Air,Editors,TRJVSQZ128F4260533,447115.0,39
141,Spiders,Editors,TRVFFMU128F4260538,447111.0,117
142,Well Worn Hand,Editors,TRNGZZT128F92C223C,447142.0,101
143,We Almost Had A Baby,Emmy The Great,TRKGLWP128F9309A6D,987778.0,113
144,Missing,Everything But The Girl,TRSRRSV128F9316B5A,442317.0,72
145,Times Like These,Foo Fighters,TRRNGCW128F92CA9D5,187384.0,36
146,Tired Of You,Foo Fighters,TRGFOJY128F4294010,211722.0,106
147,Lonely As You,Foo Fighters,TRGSGQS128F4294007,211731.0,101
148,Roxanne,George Michael,TRGUKPU128F425A04A,1492220.0,119
149,Under Your Thumb,Godley & Creme,TRGWYMI128F14773D2,822692.0,42
150,Blue Suede Shoes,Helloween,TRHTACT12903D08409,1604063.0,100
151,Nights In White Satin (Notte Di Luce),Il Divo,TRZQBYM128F933AB85,1285579.0,91
152,Marcy's Song,Jackson C. Frank,TRRVJUX128F92EC49D,1396846.0,19
153,The Visit,Jackson C. Frank,TRPVRVU128F9308E69,1305495.0,65
154,Relations,Jackson C. Frank,TRUDJJP128F9308E6B,1401994.0,69
155,Blues Run The Game,Jackson C. Frank,TRSDZYX128F92EC488,739471.0,70
156,Nightporter,Japan,TRJSDPA128F14588E7,1545859.0,45
157,Too Many Broken Hearts,Jason Donovan,TRMPISD12903D05F90,1433517.0,32
158,Margaritaville,Jimmy Buffett,TRPMVAX128F14566D1,60282.0,61
159,The Middle,Jimmy Eat World,TRRCPXP128E0791F01,83226.0,85
160,Morning Morgantown,Joni Mitchell,TRVEXDP128F14B10DA,140625.0,117
161,Dance On A Volcano,Jordan Rudess,TREBQJU128F4292595,1271318.0,30
162,Dispossession,Katatonia,TRQRPJW128F422AD55,1280103.0,17
163,We Must Bury You,Katatonia,TRFUTEU128F422AD57,1084463.0,42
164,I Transpire,Katatonia,TRZRZCI128F422AD59,1641905.0,23
165,Clean Today,Katatonia,TRMEWHI128F422AD5B,1305497.0,48
166,Just Missed The Train,Kelly Clarkson,TRSSUEJ128F4295E1A,198420.0,23
167,Behind These Hazel Eyes,Kelly Clarkson,TRIUGLQ128F92F9E38,198443.0,65
168,Beth,Kiss,TRKZRTN128F148C798,253255.0,42
169,I Wish You Love,Laura Fygi,TRLFYKX128F1493334,1722925.0,60
170,Wedding Bell Blues,Laura Nyro,TRCTFPX128F4265975,1204755.0,13
171,Stoned Soul Picnic,Laura Nyro,TRUKGOU128F4262F2B,910196.0,108
172,Behind Blue Eyes,Limp Bizkit,TRKTVEA128F4259640,394474.0,101
173,My December,Linkin Park,TRZALAV128F1484413,194721.0,84
174,Something In Red,Lorrie Morgan,TRMVKXA128F4248218,1102589.0,92
175,A Picture Of Me (Without You),Lorrie Morgan,TRFNHGN128F4248210,1120534.0,84
176,Last Train Home,Lostprophets,TRKOKRZ128F1492716,229679.0,19
177,Holiday,Madonna,TRALSBI12903CCEEA0,278340.0,109
178,Beautiful Stranger,Madonna,TRICOVA12903CF4661,155356.0,87
179,Celebration,Madonna,TRYQBWX128F9326C8C,318314.0,65
180,Belladonna,Madrugada,TRRJLHG128F92C2A12,1175302.0,41
181,Midnight At The Oasis,Maria Muldaur,TRUVIBB128F92E8B36,950391.0,76
182,Alone In Love,Mariah Carey,TRCVMOP128F4264843,204160.0,96
183,Unfinished Sympathy,Massive Attack,TRXCBAA128F42ACCEE,226127.0,106
184,Wild World,Me First And The Gimme Gimmes,TRAJEYE128F9343F8E,808352.0,115
185,Wild Is The Wind,Nina Simone,TRWYNAB12903CDC72B,1025766.0,59
186,Just In Time,Nina Simone,TRYUUXL128F933E905,1035806.0,50
187,Strange Fruit,Nina Simone,TRFRLPN128EF35156E,170602.0,116
188,Start The Fire,No Doubt,TRKPSFZ128E078ED30,347383.0,37
189,On A Good Day,OceanLab,TRAWHAT128F931AD5E,1493648.0,41
190,She Lives In My Lap,OutKast,TRVVAXO128F4284A2C,36314.0,61
191,Hey Ya!,OutKast,TRZOBVO128F9315237,1449.0,83
192,Roses,OutKast,TRZTJRK128F428D2BC,1065.0,70
193,Pink & Blue,OutKast,TRKALOB128F42843DA,36312.0,19
194,Don't Shed A Tear,Paul Carrack,TRIAJPE128F9364CB8,704568.0,93
195,Nobody I Know,Peter & Gordon,TRBQVNJ128F1461E60,1559610.0,96
196,Lady Godiva,Peter & Gordon,TRSYYEE128F1461E68,915887.0,10
197,Young Folks,Peter Bjorn And John,TRQLSSV128F422EC72,66259.0,47
198,Let My Love Open The Door,Pete Townshend,TRFKYHS128F933ED6B,641241.0,88
199,Hey You,Pink Floyd,TRNIKJY128F9308A0C,73904.0,111
200,Comfortably Numb,Pink Floyd,TRHFKPW128F4243295,65489.0,76
201,We Let The Stars Go,Prefab Sprout,TRFONKJ128F425989D,1604915.0,105
202,Live Bed Show,Pulp,TRZKZNS128F42733FD,387483.0,34
203,Bar Italia,Pulp,TRNNZJN128F4273403,530108.0,98
204,The Fear,Pulp,TRDDCUM128F1485FA2,593401.0,45
205,I Might Be Wrong,Radiohead,TRRABGF128F4252E44,114480.0,91
206,Like Spinning Plates,Radiohead,TRTMZAT128F932E754,112029.0,19
207,House Of Cards,Radiohead,TRLAUAI128F423DBC8,65928.0,21
208,Jigsaw Falling Into Place,Radiohead,TRCRJHK128F423DBC9,65929.0,19
209,Final Goodbye,Rihanna,TRQFLHM128F146E715,219316.0,1
210,P.S. (I'm Still Not Over You),Rihanna,TRZERAM128F930FAE2,219335.0,74
211,Lovin' Each Day,Ronan Keating,TRHUABO128F147E40D,1465127.0,111
212,Iris,Ronan Keating,TRGEDJL128F1474B66,1536478.0,44
213,Bitch,Room Eleven,TRGAGNZ128F42712C3,1652678.0,67
214,Bring It All Back,S Club 7,TRISVCC128E0793CCC,582087.0,84
215,S Club Party,S Club 7,TRRYBLM128E07920B1,1792298.0,92
216,My Superman,Santigold,TRAHXKG128F9308EB5,524142.0,21
217,Lights Out,Santigold,TRJCLLM128F42202EB,1352320.0,37
218,Unstoppable,Santigold,TRPJZVC128F9308EB9,229661.0,101
219,Anne,Santigold,TREKMDS128F42202F0,1217603.0,118
220,City Headache,Scott Matthews,TRSKPDI128F4294C79,1445184.0,113
221,Elusive,Scott Matthews,TRTANOO12903CE6C78,1589431.0,108
222,Jackie,Scott Walker,TRRRDKN128F93167E7,161037.0,13
223,Why You Treat Me So Bad,Shaggy,TRUHFLZ128F424EF53,1106115.0,39
224,Under The Moon Of Love,Showaddywaddy,TRUGREL128F92D0C9D,935101.0,107
225,Breathe Me,Sia,TRIPUXS128F42B7715,64291.0,60
226,Don't Bring Me Down,Sia,TRFFBNS128C7196955,538414.0,30
227,How Insensitive,Sinéad O'Connor,TRIDDAU128E078295B,1518609.0,23
228,Fire On Babylon,Sinéad O'Connor,TRMCVXY128E0781B62,2155213.0,81
229,My Darling Child,Sinéad O'Connor,TRGRMBO128E0781B64,1107167.0,111
230,Red Football,Sinéad O'Connor,TRROFLU128E0781B66,1633684.0,115
231,Diggin' Your Scene,Smash Mouth,TRKNGTF128E079237D,192361.0,79
232,Waste,Smash Mouth,TREHZMI128E079237F,192363.0,49
233,Road Man,Smash Mouth,TRREXCU128E0792385,192370.0,33
234,Tallulah,Sonata Arctica,TRQIAQA128F92E3CF0,829377.0,98
235,Days That Are Over,Sondre Lerche,TRKKITN128E0781845,75486.0,98
236,Through The Barricades,Spandau Ballet,TRBYQCX128F92FCB6D,1495940.0,44
237,Spirit Ditch,Sparklehorse,TRCGAAS128E0781BB0,1155581.0,61
238,Beaver O'Lindy,Sparks,TRUGLFS128F92FC84B,1279336.0,0
239,The Best Is Yet To Come,Stacey Kent,TRWOUIG128F92F9E09,1568582.0,88
240,What The World Needs Now Is Love,Stacey Kent,TRXCNFS128F428CCA7,1116196.0,0
241,For Once In My Life,Stevie Wonder,TRKBZBG128EF34999E,151098.0,21
242,Mansize Rooster,Supergrass,TRKXOPC128F92F8F1D,1760918.0,79
243,Lose It,Supergrass,TRJQJAP128F92F8F20,1169669.0,22
244,Lenny,Supergrass,TRPHOHS128F92F8F21,1730564.0,80
245,And She Was,Talking Heads,TRYCASO128F92EC56C,212756.0,67
246,Inner Smile,Texas,TRGZHVA128E078A1D9,994633.0,65
247,Isn't It Time,The Babys,TRORQBL128F146B1B3,1378120.0,32
248,Whispering Pines,The Band,TRHAOJQ128F92FA982,712262.0,100
249,Wake Up Boo!,The Boo Radleys,TRNJKYV128F92C4923,1731393.0,53
250,Lean On Sheena,The Bouncing Souls,TRGEMJN128F428BA8D,854732.0,14
251,I Don't Like Mondays,The Boomtown Rats,TRSHXKL128F92DE895,278516.0,82
252,Reflections After Jane,The Clientele,TRSQLAH128F428B3AE,986445.0,115
253,Monday's Rain,The Clientele,TREEJKS128F428B3B0,1457361.0,82
254,Twenty One,The Cranberries,TRVXUDW128F4287F24,1038462.0,81
255,Zombie,The Cranberries,TRGBWJL128F9332B52,103212.0,84
256,Empty,The Cranberries,TRBDEBY128F427C0B0,1702063.0,114
257,Everything I Said,The Cranberries,TRBJPXD128EF3518F4,1490990.0,21
258,The Icicle Melts,The Cranberries,TRLROIH128EF3518F5,1601309.0,30
259,Ridiculous Thoughts,The Cranberries,TRVEVFW128F145F94E,1634746.0,101
260,Boys Better,The Dandy Warhols,TRGHXQF128F934B96B,2173789.0,81
261,We Used To Be Friends,The Dandy Warhols,TRUZFOF128F930C6A1,2167244.0,10
262,People Are Strange,The Doors,TRQPGMD128EF34280A,68985.0,60
263,Love Street,The Doors,TRLAYHF128EF3427C2,109193.0,116
264,Square One Here I Come,The Hives,TRPXVTD128F93411C4,1382390.0,76
265,Billy Hunt,The Jam,TRIJKWO128F146B715,996630.0,41
266,What Katie Did,The Libertines,TRRUQQW128F425045E,243239.0,32
267,So Alone,The Offspring,TRXHPCP128F4281242,375234.0,52
268,Lump,The Presidents Of The United States Of America,TRRVULD128F4293F02,490181.0,62
269,Boll Weevil,The Presidents Of The United States Of America,TRUOTMN128F4293F0F,782560.0,99
270,Skyway,The Replacements,TRSKJRG128F92CEAAA,510279.0,74
271,Can't Hardly Wait,The Replacements,TRHNNFH128F92CEAAB,508431.0,10
272,Nobody,The Replacements,TRAVXKL128F92CEED0,1511113.0,101
273,The Great Escape,The Rifles,TREAIKT128F932A552,862002.0,79
274,My Blue Heaven,The Smashing Pumpkins,TRBWELM128E0788938,1146730.0,34
275,Daphne Descends,The Smashing Pumpkins,TRDJNMF128E0788AA1,140455.0,39
276,Once Upon A Time,The Smashing Pumpkins,TRKRSUV128E0788AA2,140456.0,60
277,Annie-Dog,The Smashing Pumpkins,TRYAJHH128E0788AA8,140464.0,42
278,Blank Page,The Smashing Pumpkins,TRNVVSC128E0788AAC,140469.0,55
279,Folk Song,The Sundays,TRXYJTK128E07819ED,1431305.0,52
280,She,The Sundays,TRTGYPP128E07819EE,1276108.0,48
281,I Can't Wait,The Sundays,TRCQMPL128E07819F0,1721345.0,81
282,Cry,The Sundays,TRLWLLF128E07819F4,1279979.0,67
283,One Headlight,The Wallflowers,TRBXGHM128E0791287,209350.0,65
284,Song To The Siren,This Mortal Coil,TRUZEZN128F92D0406,1559986.0,60
285,The Flat Earth,Thomas Dolby,TRISSIY128E0782EDF,224110.0,106
286,Better,Tom Baxter,TRYEAYN128F4233579,841443.0,84
287,How Do I Live,Trisha Yearwood,TRNDFGY128F148D04D,584720.0,88
288,My Best,Vanessa Carlton,TRBEFRO128F42520FC,1722748.0,118
289,Butterfly,Weezer,TRIVZLX128E0793EB3,148941.0,60
290,Don't Let Go,Weezer,TRABLMN128E0792687,215811.0,1
291,Island In The Sun,Weezer,TRUOLYY128E078910C,71245.0,51
292,Dope Nose,Weezer,TRAUMIT128F424DA18,1436116.0,99
293,Hate It Here,Wilco,TRLGMVE128EF3675A3,111735.0,61
294,Leave Me (Like You Found Me),Wilco,TRUUPWQ128F9301B4D,344305.0,111
295,On And On And On,Wilco,TRTMHDN128EF3675A7,111733.0,72
296,City Of Devils,Yellowcard,TROPESU128F145E198,407619.0,78
297,Two Weeks From Twenty,Yellowcard,TRLNQNI128F145E19A,407622.0,76
298,Let Me Go,3 Doors Down,TREVLRW128E0789A07,210132.0,58
299,Be Somebody,3 Doors Down,TRKSURX128EF3434EC,210134.0,72
300,Landing In London,3 Doors Down,TRIHGOW128EF34358A,210170.0,60
301,The Real Life,3 Doors Down,TROEBYM128E07899FE,210173.0,35
302,Behind Those Eyes,3 Doors Down,TRIYWML128E07899FF,210181.0,62
303,Never Will I Break,3 Doors Down,TROMGCY128E0789A00,213215.0,93
304,What The Hell Have I,Alice In Chains,TRZLTVG128F42B0DD6,391434.0,78
305,Piano & I,Alicia Keys,TRWCVWH128F4284EE5,692479.0,94
306,The Art Of Losing,American Hi-Fi,TRULRYN128F145FC1C,480178.0,46
307,Flavor Of The Weak,American Hi-Fi,TRGOMQC128F427E291,522491.0,67
308,Souverian,Andrew Bird,TRVJRGT128F9320A43,818054.0,69
309,The Giant Of Illinois,Andrew Bird,TRLVOGK128F92CD9A0,817443.0,10
310,Cities Burn,Anti-Flag,TRGHRSV128F42AD898,2129644.0,41
311,Hope There's Someone,Antony And The Johnsons,TRKCDTK128F428191A,122547.0,37
312,Shattered By Broken Dreams,Avenged Sevenfold,TRPDUMR12903CAF58E,229693.0,13
313,Feels Like Home,Basement Jaxx,TRWNBUG128F1492BF9,1770225.0,51
314,Oh My Gosh,Basement Jaxx,TRSJDAA12903CD8D94,844507.0,91
315,Un Dernier Verre (Pour La Route),Beirut,TRSLEZZ128F42396D3,780671.0,35
316,St. Apollonia,Beirut,TRZNFCZ128F42396D5,219965.0,117
317,World Without You,Belinda Carlisle,TRHLVJM128F92F97DC,852961.0,23
318,Me And My Gin,Bessie Smith,TRXOHOD128F9306A56,964998.0,66
319,So Sublime,Beth Rowley,TRTEYHN128F424EA52,960161.0,58
320,She's Got A Way,Billy Joel,TRCKFJC12903CBAF04,342530.0,32
321,Piano Man,Billy Joel,TRCTEDP12903CBA4AB,85255.0,19
322,"Summer, Highland Falls",Billy Joel,TRELZGI128F4267234,377175.0,74
323,New York State Of Mind,Billy Joel,TRHLTRO128F92EA51A,195634.0,61
324,I've Loved These Days,Billy Joel,TRRJREI128F4264A5D,377198.0,99
325,Drown,Black Tambourine,TROXOYC12903D036FD,1308009.0,51
326,Throw Aggi Off The Bridge,Black Tambourine,TRMHSTZ12903D036FB,1208946.0,10
327,The Wolves (Act I And II),Bon Iver,TRFNDHN128F426BE40,54125.0,109
328,Creature Fear,Bon Iver,TRBXLFU128F427A494,99060.0,80
329,Blood Bank,Bon Iver,TROUBVX128F9324516,54124.0,67
330,Mix Tape,Brand New,TRAHVYB128F932D5D6,66305.0,22
331,Failure By Design,Brand New,TRALJFT128F932D5D7,476525.0,44
332,Logan To Government Center,Brand New,TRCAMOC128F932D5DB,422089.0,32
333,Back In Your Arms,Bruce Springsteen,TRJTZXR128F9328134,1064579.0,80
334,Devils & Dust,Bruce Springsteen,TRUOZPQ128F92ECDD6,391892.0,70
335,Cool Blue Reason,Cake,TRTYGJB128F428D396,1095023.0,93
336,Where Would I Be?,Cake,TRMPSSY128F428D398,1670178.0,25
337,Come On In My Kitchen,Cassandra Wilson,TRNTVPO128F1458171,1468680.0,1
338,Praise You In This Storm,Casting Crowns,TRJROGV128F42BC6F2,397772.0,0
339,Amnesia,Chumbawamba,TRBLQSE128F42954CC,1342075.0,70
340,Brown Eyed Handsome Man,Chuck Berry,TRGNBZQ128C7196322,123378.0,44
341,Brimful Of Asha,Cornershop,TRKYXOL128F4272084,145003.0,45
342,Shelter,Corrosion Of Conformity,TRFYCFB128F42649DA,1098450.0,108
343,Mr. Jones,Counting Crows,TRANKTK128E07921D9,53230.0,85
344,A Murder Of One,Counting Crows,TRIEQRG128F42503AB,211420.0,110
345,Leave Me Here,Cult Of Luna,TRUIWHJ12903CF5E11,1073459.0,99
346,Down To Earth,Curiosity Killed The Cat,TRGSVLH128F147A642,344935.0,113
347,Mortal City,Dar Williams,TRBERRB128F932D534,1032882.0,49
348,Comfortably Numb,Dar Williams,TRJRKIT128F92F7445,897719.0,62
349,Dream To Me,Dario G,TRSMWYD128F423C3F7,1154678.0,17
350,Newborn,Depeche Mode,TRHKEVM128F1454CA8,1604772.0,70
351,Bell Bottom Blues,Derek And The Dominos,TRZVMWF128E0792B64,253799.0,74
352,Nobody Knows You When You're Down And Out,Derek And The Dominos,TRQUGFA128E0793F5F,1744909.0,22
353,Mad About The Boy,Dinah Washington,TRUPVJB128F9334C3E,1152584.0,67
354,I Live For That Look,Dinosaur Jr.,TRGKFAV128F148A1AD,189000.0,37
355,The Sulphur Man,Doves,TRZCMFH128E07819A4,2035168.0,51
